timestamp,open,high,low,close,volume
2026-04-29T13:30:00Z,424.519,424.519,421.79,422.182,690149
2026-04-29T13:31:00Z,422.2,425.2399,422.085,424.861,207013
2026-04-29T13:32:00Z,424.76,424.837,422.83,423.472,183441
2026-04-29T13:33:00Z,423.82,423.97,423,423.37,96602
2026-04-29T13:34:00Z,423.44,423.5,422.25,422.387,106407
2026-04-29T13:35:00Z,422.355,423.1999,422.065,422.768,104853
2026-04-29T13:36:00Z,422.77,423.39,422.51,422.84,130217
2026-04-29T13:37:00Z,422.895,423.175,422.26,422.759,103243
2026-04-29T13:38:00Z,422.86,422.97,422.145,422.262,101483
2026-04-29T13:39:00Z,422.55,423.1994,422.29,423.087,81068
2026-04-29T13:40:00Z,423.07,423.28,422.565,422.819,77308
2026-04-29T13:41:00Z,423.11,423.8499,422.847,423.457,95799
2026-04-29T13:42:00Z,423.445,424.5,423.44,424.319,118756
2026-04-29T13:43:00Z,424.29,424.33,423.71,424.221,72957
2026-04-29T13:44:00Z,424.3,424.66,424.18,424.552,94321
2026-04-29T13:45:00Z,424.46,424.538,423.7,423.832,130223
2026-04-29T13:46:00Z,423.77,424.315,423.6201,424.172,124835
2026-04-29T13:47:00Z,424.285,424.78,424.19,424.468,167151
2026-04-29T13:48:00Z,424.445,424.5,424.005,424.134,114374
2026-04-29T13:49:00Z,424.27,425.0984,424.156,424.997,75106
2026-04-29T13:50:00Z,425.21,426.155,425.032,425.92,87922
2026-04-29T13:51:00Z,425.93,425.98,425.41,425.649,137317
2026-04-29T13:52:00Z,425.68,425.8,425.22,425.377,75248
2026-04-29T13:53:00Z,425.379,426.15,425.28,426.08,71966
2026-04-29T13:54:00Z,426.145,426.675,426.09,426.579,97594
2026-04-29T13:55:00Z,426.6421,426.8199,426.17,426.256,79150
2026-04-29T13:56:00Z,426.1889,426.55,426.01,426.268,78678
2026-04-29T13:57:00Z,426.255,426.255,425.35,425.531,61133
2026-04-29T13:58:00Z,425.485,425.52,425.2,425.327,40292
2026-04-29T13:59:00Z,425.25,425.6275,425.06,425.519,87297
2026-04-29T14:00:00Z,425.545,425.545,425.06,425.24,78118
2026-04-29T14:01:00Z,425.18,425.41,425.01,425.271,33944
2026-04-29T14:02:00Z,425.17,425.261,424.4,424.615,97742
2026-04-29T14:03:00Z,424.64,424.771,424.465,424.561,86497
2026-04-29T14:04:00Z,424.52,424.67,424.43,424.596,80030
2026-04-29T14:05:00Z,424.62,424.62,424.35,424.55,56318
2026-04-29T14:06:00Z,424.61,424.66,424.34,424.423,42448
2026-04-29T14:07:00Z,424.3075,424.405,423.95,424.156,70324
2026-04-29T14:08:00Z,424.3,424.62,424.167,424.242,84852
2026-04-29T14:09:00Z,424.21,424.6,424.15,424.524,55589
2026-04-29T14:10:00Z,424.555,424.66,424.33,424.635,57390
2026-04-29T14:11:00Z,424.64,424.6488,424.295,424.385,66022
2026-04-29T14:12:00Z,424.33,424.44,424.14,424.196,46435
2026-04-29T14:13:00Z,424.06,424.18,423.79,423.934,44676
2026-04-29T14:14:00Z,423.975,424.18,423.83,424.033,67825
